spotify_id,title,artist,genre,released_year,key,mode,bpm
7cDBUr6mlP58oJXvIO1JGy,Without No Fear,Urchin,Dance Pop,2019-12-06,5,0,126.982
7C7yqFTM0ncyJ04GIKrxdV,Anything Could Happen,Ellie Goulding,Dance Pop,2012-01-01,0,1,102.997
7BZSIG9TyowrVzSdZJpmeI,Miss You More,Katy Perry,Pop,2017-06-09,2,1,123.801
7BqBn9nzAq8spo5e7cZ0dJ,Just The Way You Are,Bruno Mars,Hip Hop/Pop,2010-10-05,5,1,109.012
7boPPE857KEqCIHNwFkDop,Audio,Sia,EDM/Pop,2018-05-10,3,0,89.998
7BooBD8k8ABLTFLzgxcT5G,Johnny Run Away,Tones And I,Pop,2019-08-29,2,1,92.452
7BKLCZ1jbUBVqRi2FVlTVw,Closer,The Chainsmokers,Dance Pop,2016-07-29,8,1,95.01
7bF6tCO3gFb8INrEDcjNT5,Tough Love <Tiesto Remix>,Avicii,EDM/Pop,2019-06-14,8,1,127.015
7b4vbqgzMhbFa0wdjfftQJ,One Kiss <Oliver Heldens Remix>,Calvin Harris,Dance Pop,2018-07-13,0,1,123.97
7B1Dl3tXqySkB8OPEwVvSu,We'll Be Coming Back,Calvin Harris,EDM/Pop,2012-10-26,7,1,127.945
7aV2mflaASUmGhCErm7kBO,The Mack,Nevada,Tropical,2016-09-23,0,1,106.031
7aQeWViSfRWSEwtJD86Eq0,Late Night Feelings,Mark Ronson,Dance Pop,2019-04-12,4,0,110.055
7AkLPOwjju8taQCJCaIUts,Happy Now <R3HAB Remix>,Kygo,EDM,2019-02-01,9,1,123.068
7aJMDBKnBkU4CTGqnMQpuz,Real Life <Ossian Remix>,Mako,Pop,2017-04-14,5,1,99.99
7aiClxsDWFRQ0Kzk5KI5ku,Hot Girl Bummer,Blackbear,Pop,2019-08-23,6,0,129.989
7AasLZ4TYgh7dbJXZxcZVE,Torn <KREAM Remix>,Ava Max,Dance Pop,2019-09-05,0,1,125.032
7a86XRg84qjasly9f6bPSD,We Are Young,Fun,Pop,2012-02-21,10,1,184.086
79Vz5MNH7Qe4F7hPKT8tPz,Blue,Tiesto,Dance Pop,2019-12-13,11,1,118.034
79T9m6YkRCgP0955CE4UCd,No Diggity,Campsite Dream,Dance Pop,2016-09-23,7,0,104.912
79esEXlqqmq0GPz0xQSZTV,Lost In Japan,Shawn Mendes,Hip Hop/Pop,2018-05-25,10,1,105.027
799ZJmqIOCy589IzlTZ0Wy,Dusk Till Dawn <Brooks Remix>,ZAYN,EDM/Pop,2017-09-29,11,0,126.146
793L9VYMEBkbA6pzT53usi,You Owe Me <Subfer Remix>,The Chainsmokers,EDM/Pop,2018-03-09,6,0,179.756
78rFhTXf81WtRS7Ubl2f4V,Lucky,Chelsea Cutler,Pop,2019-11-01,2,1,92.107
78QR3Wp35dqAhFEc2qAGjE,Drip Too Hard,Lil Baby & Gunna,Pop,2018-10-05,1,0,112.511
78mNkiUBAwHqjT0QOeEqqg,Oceans Away <Sam Feldt Remix>,ARIZONA,Tropical,2017-01-20,1,1,115.031
77OweUKV2752QnHqq9mMOE,So Good,Dove Cameron,Pop,2019-11-01,2,0,95.093
77j9HOrxUpWcjwra9jgvio,We like to Party <Six Flags>,Vengaboys,Dance Pop,1998,8,1,136.018
77ePeF9L2QKvKrSsWpJXBF,Suave,Nayer,Pop,2011-08-02,10,0,127.949
76qmmg29dA310thL57p9bN,Still A Survivor,Akon,Pop,2013-12-17,9,1,73.408
76pb7byVgncOfaeFzHqs5M,Call You Home <Faul & Wad Ad Remix>,Kelvin Jones,EDM/Pop,2015-10-02,1,0,102.996
76hfruVvmfQbw0eYn1nmeC,Cake By The Ocean,DNCE,Pop,2016-11-18,4,0,119.002
76cy1WJvNGJTj78UqeA5zr,IDGAF,Dua Lipa,Pop,2017-06-02,7,1,97.028
76bvw5EDyhm1b3dfsOToYG,The Kids Are Coming,Tones And I,Pop,2019-08-29,9,0,135.039
762UXiwEHYY97VL45sAUPR,2U,David Guetta,Dance Pop,2017-06-09,8,0,144.875
75ylrnob5O80WTKi9ugZ1Z,Problems,ARIZONA,Pop,2019-10-11,2,1,98.001
75NhhYjHO43mvZgYtnXgti,Lonely Together,Avicii,Dance/EDM,2017-08-10,5,1,102.977
75JFxkI2RXiU7L9VXzMkle,The Scientist,Coldplay,EDM/Pop,2002-08-08,5,1,146.448
75FpbthrwQmzHlBJLuGdC7,Call You Mine <Keanu Silva Remix>,The Chainsmokers,Dance Pop,2019-07-19,7,1,121.956
74Zp9QiDrFZpBV949AMbUs,Dammit,Blink 182,Pop,1997-01-01,0,1,109.096
